competition,season,round_label,round_index,match_key,date,home,away,home_score,away_score,venue,attendance,referee,url_afltables,url_nrl
SOO,1980,Round 1,1,1980-Round 1-Maroons-v-Blues,8-Jul-1980,Maroons,Blues,20,10,Lang Park,33210,Russell Turner,https://afltables.com/rl/soo/game1.html,https://www.nrl.com/draw/state-of-origin/1980/round-1/maroons-v-blues/
SOO,1981,Round 1,1,1981-Round 1-Maroons-v-Blues,28-Jul-1981,Maroons,Blues,22,15,Lang Park,25613,Kevin Steele,https://afltables.com/rl/soo/game2.html,https://www.nrl.com/draw/state-of-origin/1981/round-1/maroons-v-blues/
SOO,1982,Game 1,1,1982-Game 1-Maroons-v-Blues,1-Jun-1982,Maroons,Blues,16,20,Lang Park,27326,Kevin Roberts,https://afltables.com/rl/soo/game3.html,https://www.nrl.com/draw/state-of-origin/1982/game-1/maroons-v-blues/
SOO,1982,Game 2,2,1982-Game 2-Maroons-v-Blues,8-Jun-1982,Maroons,Blues,11,7,Lang Park,19435,Barry Gomersall,https://afltables.com/rl/soo/game4.html,https://www.nrl.com/draw/state-of-origin/1982/game-2/maroons-v-blues/
SOO,1982,Game 3,3,1982-Game 3-Blues-v-Maroons,22-Jun-1982,Blues,Maroons,5,10,S.C.G.,20242,Don Wilson,https://afltables.com/rl/soo/game5.html,https://www.nrl.com/draw/state-of-origin/1982/game-3/blues-v-maroons/
SOO,1983,Game 1,1,1983-Game 1-Maroons-v-Blues,7-Jun-1983,Maroons,Blues,24,12,Lang Park,29412,Barry Gomersall,https://afltables.com/rl/soo/game6.html,https://www.nrl.com/draw/state-of-origin/1983/game-1/maroons-v-blues/
SOO,1983,Game 2,2,1983-Game 2-Blues-v-Maroons,21-Jun-1983,Blues,Maroons,10,6,S.C.G.,21620,John Gocher,https://afltables.com/rl/soo/game7.html,https://www.nrl.com/draw/state-of-origin/1983/game-2/blues-v-maroons/
SOO,1983,Game 3,3,1983-Game 3-Maroons-v-Blues,28-Jun-1983,Maroons,Blues,43,22,Lang Park,26084,Robin Whitfield,https://afltables.com/rl/soo/game8.html,https://www.nrl.com/draw/state-of-origin/1983/game-3/maroons-v-blues/
SOO,1984,Game 1,1,1984-Game 1-Maroons-v-Blues,29-May-1984,Maroons,Blues,29,12,Lang Park,33662,Kevin Roberts,https://afltables.com/rl/soo/game9.html,https://www.nrl.com/draw/state-of-origin/1984/game-1/maroons-v-blues/
SOO,1984,Game 2,2,1984-Game 2-Blues-v-Maroons,19-Jun-1984,Blues,Maroons,2,14,S.C.G.,29088,Barry Gomersall,https://afltables.com/rl/soo/game10.html,https://www.nrl.com/draw/state-of-origin/1984/game-2/blues-v-maroons/
