match_key,year,round,home,away,team,player,tries,goals,fg1,fg2,date,url
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Chris Anderson,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Mick Cronin,0,2,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Steve Rogers,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Greg Brentnall,1,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Alan Thompson,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Tom Raudonikis,1,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Jim Leis,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Graeme Wynn,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Bob Cooper,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Craig Young,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Steve Edge,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Gary Hambly,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Steve Martin,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Blues,Robert Stone,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Kerry Boustead,1,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Mal Meninga,0,7,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Chris Close,1,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Brad Backer,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Alan Smith,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Greg Oliphant,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Wally Lewis,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Rod Reddy,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Rohan Hancock,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Arthur Beetson,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Johnny Lang,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Rod Morris,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Norm Carr,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1980-Round 1-Maroons-v-Blues,1980,Round 1,Maroons,Blues,Maroons,Bruce Astill,0,0,0,0,8-Jul-1980,https://afltables.com/rl/soo/game1.html
1981-Round 1-Maroons-v-Blues,1981,Round 1,Maroons,Blues,Blues,Terry Fahey,0,0,0,0,28-Jul-1981,https://afltables.com/rl/soo/game2.html
1981-Round 1-Maroons-v-Blues,1981,Round 1,Maroons,Blues,Blues,Mick Cronin,1,3,0,0,28-Jul-1981,https://afltables.com/rl/soo/game2.html
