base_display_name,split_display_name,first_season,last_season,afltables_player_url,afltables_tries,afltables_points,apply_split,split_status
J Ryan,J Ryan [1908],1908,1908,players/J/J_RyanGL.html,1,5,1,ready
J Ryan,J Ryan [1921],1921,1921,players/J/J_RyanWS.html,1,3,1,ready
Larry O'Malley,Larry O'Malley [1908-1913],1908,1913,players/L/Larry_OMalleyE0.html,6,18,1,ready
Larry O'Malley,Larry O'Malley [1939],1939,1939,players/L/Larry_OMalleyE1.html,1,3,1,ready
R Williams,R Williams [1908],1908,1908,players/R/R_WilliamsGL.html,1,3,1,ready
R Williams,R Williams [1945],1945,1945,players/R/R_WilliamsWS.html,1,5,1,ready
J Doyle,J Doyle [1908],1908,1908,players/J/J_DoyleNR.html,1,3,1,ready
J Doyle,J Doyle [1951],1951,1951,players/J/J_DoyleBL.html,2,6,1,ready
Bill Bailey,Bill Bailey [1908-1909],1908,1909,players/B/Bill_BaileyNR.html,16,58,1,ready
Bill Bailey,Bill Bailey [1955-1957],1955,1957,players/B/Bill_BaileyWS.html,6,18,1,ready
Dave Brown,Dave Brown [1908],1908,1908,players/D/Dave_BrownE0.html,2,6,1,ready
Dave Brown,Dave Brown [1930-1941],1930,1941,players/D/Dave_BrownE1.html,93,667,1,ready
Dave Brown,Dave Brown [1960-1962],1960,1962,players/D/Dave_BrownSG.html,12,36,1,ready
Dave Brown,Dave Brown [1981-1986],1981,1986,players/D/Dave_BrownE2.html,4,14,1,ready
Howard Hallett,Howard Hallett [1909-1920],1909,1920,players/H/Howard_HallettS0.html,21,133,1,ready
Howard Hallett,Howard Hallett [1945-1949],1945,1949,players/H/Howard_HallettS1.html,9,63,1,ready
Jim Walsh,Jim Walsh [1909-1912],1909,1912,players/J/Jim_WalshNR.html,3,13,1,ready
Jim Walsh,Jim Walsh [1947-1948],1947,1948,players/J/Jim_WalshMW.html,9,27,1,ready
Jack Hickey,Jack Hickey [1910-1915],1910,1915,players/J/Jack_HickeyG0.html,14,126,1,ready
Jack Hickey,Jack Hickey [1926-1930],1926,1930,players/J/Jack_HickeyG1.html,15,153,1,ready
John Campbell,John Campbell [1910-1921],1910,1921,players/J/John_CampbellES.html,18,56,1,ready
John Campbell,John Campbell [1948-1954],1948,1954,players/J/John_CampbellMW.html,5,15,1,ready
Sid Pert,Sid Pert [1910-1919],1910,1919,players/S/Sid_PertGL.html,29,87,1,ready
Sid Pert,Sid Pert [1955-1957],1955,1957,players/S/Sid_PertSG.html,11,33,1,ready
B Green,B Green [1911],1911,1911,players/B/B_GreenAN.html,0,10,1,ready
B Green,B Green [1928],1928,1928,players/B/B_GreenNT.html,1,3,1,ready
Bob Stuart,Bob Stuart [1911-1917],1911,1917,players/B/Bob_StuartAN.html,10,30,1,ready
Bob Stuart,Bob Stuart [1933-1934],1933,1934,players/B/Bob_StuartES.html,2,6,1,ready
W Kelly,W Kelly [1911],1911,1911,players/W/W_KellyNS.html,1,3,1,ready
W Kelly,W Kelly [1946],1946,1946,players/W/W_KellyBL.html,0,12,1,ready
Herb Gilbert,Herb Gilbert [1911-1921],1911,1921,players/H/Herb_GilbertSS.html,36,116,1,ready
Herb Gilbert,Herb Gilbert [1939-1947],1939,1947,players/H/Herb_GilbertSG.html,12,44,1,ready
H Jones,H Jones [1912],1912,1912,players/H/H_JonesBL.html,1,3,1,ready
H Jones,H Jones [1930-1931],1930,1931,players/H/H_JonesNS.html,5,15,1,ready
George Bain,George Bain [1913-1921],1913,1921,players/G/George_BainAN.html,12,116,1,ready
George Bain,George Bain [1951-1956],1951,1956,players/G/George_BainWS.html,12,474,1,ready
S Martin,S Martin [1915],1915,1915,players/S/S_MartinNT.html,2,6,1,ready
S Martin,S Martin [1929-1931],1929,1931,players/S/S_MartinGL.html,5,15,1,ready
A Johnston,A Johnston [1916-1917],1916,1917,players/A/A_JohnstonG0.html,3,9,1,ready
A Johnston,A Johnston [1929],1929,1929,players/A/A_JohnstonG1.html,2,6,1,ready
A Johnston,A Johnston [1952],1952,1952,players/A/A_JohnstonES.html,1,3,1,ready
George Lucas,George Lucas [1917],1917,1917,players/G/George_LucasSS.html,1,33,1,ready
George Lucas,George Lucas [1940-1944],1940,1944,players/G/George_LucasWS.html,11,33,1,ready
Vince Sheehan,Vince Sheehan [1918-1922],1918,1922,players/V/Vince_SheehanSS.html,22,66,1,ready
Vince Sheehan,Vince Sheehan [1934-1936],1934,1936,players/V/Vince_SheehanWS.html,20,60,1,ready
Jack Lawrence,Jack Lawrence [1919-1928],1919,1928,players/J/Jack_LawrenceS0.html,15,127,1,ready
Jack Lawrence,Jack Lawrence [1944],1944,1944,players/J/Jack_LawrenceS1.html,2,6,1,ready
Fred Yanz,Fred Yanz [1923-1928],1923,1928,players/F/Fred_YanzW0.html,11,33,1,ready
Fred Yanz,Fred Yanz [1944-1948],1944,1948,players/F/Fred_YanzW1.html,29,87,1,ready
Bill Richards,Bill Richards [1923],1923,1923,players/B/Bill_RichardsES.html,1,3,1,ready
Bill Richards,Bill Richards [1968],1968,1968,players/B/Bill_RichardsPR.html,0,10,1,ready
Les Hayes,Les Hayes [1923-1928],1923,1928,players/L/Les_HayesBL.html,16,48,1,ready
Les Hayes,Les Hayes [1968-1971],1968,1971,players/L/Les_HayesES.html,7,21,1,ready
Dave Watson,Dave Watson [1923-1929],1923,1929,players/D/Dave_WatsonSS.html,9,29,1,ready
Dave Watson,Dave Watson [1994-1997],1994,1997,players/D/Dave_WatsonCS.html,7,28,1,ready
Dave Hickey,Dave Hickey [1928-1929],1928,1929,players/D/Dave_HickeyGL.html,0,22,1,ready
Dave Hickey,Dave Hickey [1945],1945,1945,players/D/Dave_HickeyCB.html,2,6,1,ready
Fred Gardner,Fred Gardner [1929-1935],1929,1935,players/F/Fred_GardnerS0.html,38,130,1,ready
Fred Gardner,Fred Gardner [1955],1955,1955,players/F/Fred_GardnerS1.html,1,3,1,ready
Laurie Doran,Laurie Doran [1930],1930,1930,players/L/Laurie_DoranUN.html,1,3,1,ready
Laurie Doran,Laurie Doran [1943-1947],1943,1947,players/L/Laurie_DoranNS.html,8,56,1,ready
Jack Alleyne,Jack Alleyne [1930-1935],1930,1935,players/J/Jack_AlleyneB0.html,13,137,1,ready
Jack Alleyne,Jack Alleyne [1956-1957],1956,1957,players/J/Jack_AlleyneB1.html,4,12,1,ready
Alan Ridley,Alan Ridley [1931-1936],1931,1936,players/A/Alan_RidleyWS.html,64,194,1,ready
Alan Ridley,Alan Ridley [1956-1957],1956,1957,players/A/Alan_RidleyES.html,2,6,1,ready
Harry Cameron,Harry Cameron [1931],1931,1931,players/H/Harry_CameronWS.html,2,6,1,ready
Harry Cameron,Harry Cameron [1971-1974],1971,1974,players/H/Harry_CameronES.html,4,12,1,ready
Stan Robinson,Stan Robinson [1932-1936],1932,1936,players/S/Stan_RobinsonSG.html,2,78,1,ready
Stan Robinson,Stan Robinson [1949],1949,1949,players/S/Stan_RobinsonES.html,3,9,1,ready
Les Midson,Les Midson [1933],1933,1933,players/L/Les_MidsonW0.html,6,18,1,ready
Les Midson,Les Midson [1957-1959],1957,1959,players/L/Les_MidsonW1.html,1,5,1,ready
Alan Woods,Alan Woods [1933],1933,1933,players/A/Alan_WoodsSG.html,1,3,1,ready
Alan Woods,Alan Woods [1981-1982],1981,1982,players/A/Alan_WoodsPN.html,1,3,1,ready
Eric Bennett,Eric Bennett [1934-1937],1934,1937,players/E/Eric_BennettNS.html,9,27,1,ready
Eric Bennett,Eric Bennett [1941-1949],1941,1949,players/E/Eric_BennettWS.html,38,116,1,ready
John Coyne,John Coyne [1934],1934,1934,players/J/John_CoyneS0.html,1,3,1,ready
John Coyne,John Coyne [1961],1961,1961,players/J/John_CoyneCB.html,1,3,1,ready
Jack Hartwell,Jack Hartwell [1935-1936],1935,1936,players/J/Jack_HartwellWS.html,7,21,1,ready
Jack Hartwell,Jack Hartwell [1948-1951],1948,1951,players/J/Jack_HartwellCB.html,4,22,1,ready
Eric Hughes,Eric Hughes [1936],1936,1936,players/E/Eric_HughesSG.html,3,9,1,ready
Eric Hughes,Eric Hughes [1976],1976,1976,players/E/Eric_HughesCB.html,5,15,1,ready
Jack Brown,Jack Brown [1938-1939],1938,1939,players/J/Jack_BrownNT.html,0,6,1,ready
Jack Brown,Jack Brown [1959-1962],1959,1962,players/J/Jack_BrownNS.html,9,27,1,ready
Bill Bischoff,Bill Bischoff [1938-1939],1938,1939,players/B/Bill_BischoffB0.html,3,9,1,ready
Bill Bischoff,Bill Bischoff [1958-1965],1958,1965,players/B/Bill_BischoffB1.html,34,102,1,ready
Jack Danzey,Jack Danzey [1938-1943],1938,1943,players/J/Jack_DanzeyN0.html,5,15,1,ready
Jack Danzey,Jack Danzey [1960-1968],1960,1968,players/J/Jack_DanzeyN1.html,8,64,1,ready
Jim Hall,Jim Hall [1938-1941],1938,1941,players/J/Jim_HallNT.html,4,12,1,ready
Jim Hall,Jim Hall [1944-1945],1944,1945,players/J/Jim_HallNS.html,6,18,1,ready
Jim Hall,Jim Hall [1968-1973],1968,1973,players/J/Jim_HallPN.html,3,11,1,ready
Brian Bevan,Brian Bevan [1942],1942,1942,players/B/Brian_BevanES.html,0,2,1,ready
Brian Bevan,Brian Bevan [1967],1967,1967,players/B/Brian_BevanPR.html,1,9,1,ready
Frank Collins,Frank Collins [1942-1945],1942,1945,players/F/Frank_CollinsN0.html,17,91,1,ready
Frank Collins,Frank Collins [1969-1971],1969,1971,players/F/Frank_CollinsN1.html,7,21,1,ready
Dave Woods,Dave Woods [1943],1943,1943,players/D/Dave_WoodsS0.html,4,12,1,ready
Dave Woods,Dave Woods [1962],1962,1962,players/D/Dave_WoodsS1.html,1,3,1,ready
Jim Collins,Jim Collins [1944-1951],1944,1951,players/J/Jim_CollinsCB.html,19,65,1,ready
Jim Collins,Jim Collins [1956-1957],1956,1957,players/J/Jim_CollinsES.html,4,12,1,ready
Jim Collins,Jim Collins [1969],1969,1969,players/J/Jim_CollinsNT.html,3,9,1,ready
John Payne,John Payne [1944-1946],1944,1946,players/J/John_PayneCB.html,10,42,1,ready
John Payne,John Payne [1970-1974],1970,1974,players/J/John_PayneNS.html,3,9,1,ready
Les Bell,Les Bell [1945-1949],1945,1949,players/L/Les_BellSS.html,0,84,1,ready
Les Bell,Les Bell [1970-1971],1970,1971,players/L/Les_BellNT.html,4,12,1,ready
Jeff Simmonds,Jeff Simmonds [1946-1951],1946,1951,players/J/Jeff_SimmondsCB.html,22,66,1,ready
Jeff Simmonds,Jeff Simmonds [1965],1965,1965,players/J/Jeff_SimmondsNS.html,2,6,1,ready
Mick Mullane,Mick Mullane [1947-1953],1947,1953,players/M/Mick_MullaneNT.html,20,62,1,ready
Mick Mullane,Mick Mullane [1977-1983],1977,1983,players/M/Mick_MullaneCS.html,53,162,1,ready
Bill Brown,Bill Brown [1948],1948,1948,players/B/Bill_BrownW0.html,1,3,1,ready
Bill Brown,Bill Brown [1954-1961],1954,1961,players/B/Bill_BrownW1.html,11,33,1,ready
Ray Black,Ray Black [1948-1950],1948,1950,players/R/Ray_BlackMW.html,5,15,1,ready
Ray Black,Ray Black [1972-1974],1972,1974,players/R/Ray_BlackBL.html,3,9,1,ready
Peter O'Brien,Peter O'Brien [1949-1955],1949,1955,players/P/Peter_OBrienNS.html,77,231,1,ready
Peter O'Brien,Peter O'Brien [1971-1973],1971,1973,players/P/Peter_OBrienCS.html,6,18,1,ready
Ken Kearney,Ken Kearney [1952-1960],1952,1960,players/K/Ken_KearneyS0.html,18,58,1,ready
Ken Kearney,Ken Kearney [1978-1979],1978,1979,players/K/Ken_KearneyS1.html,6,57,1,ready
Barry Russell,Barry Russell [1954-1957],1954,1957,players/B/Barry_RussellES.html,1,17,1,ready
Barry Russell,Barry Russell [1985-1991],1985,1991,players/B/Barry_RussellCS.html,32,128,1,ready
Alan Wilson,Alan Wilson [1954],1954,1954,players/A/Alan_WilsonES.html,1,3,1,ready
Alan Wilson,Alan Wilson [1986-1995],1986,1995,players/A/Alan_WilsonCS.html,36,516,1,ready
Kevin Wilson,Kevin Wilson [1955],1955,1955,players/K/Kevin_WilsonES.html,1,3,1,ready
Kevin Wilson,Kevin Wilson [1977-1983],1977,1983,players/K/Kevin_WilsonNS.html,9,27,1,ready
John Ryan,John Ryan [1959],1959,1959,players/J/John_RyanWS.html,3,9,1,ready
John Ryan,John Ryan [1977-1980],1977,1980,players/J/John_RyanPN.html,14,44,1,ready
Geoff Smith,Geoff Smith [1959],1959,1959,players/G/Geoff_SmithSS.html,1,3,1,ready
Geoff Smith,Geoff Smith [1976-1982],1976,1982,players/G/Geoff_SmithWS.html,4,12,1,ready
Brian Henderson,Brian Henderson [1960-1962],1960,1962,players/B/Brian_HendersonBL.html,2,6,1,ready
Brian Henderson,Brian Henderson [1977],1977,1977,players/B/Brian_HendersonPN.html,3,9,1,ready
Greg Davies,Greg Davies [1964],1964,1964,players/G/Greg_DaviesES.html,4,12,1,ready
Greg Davies,Greg Davies [1986-1989],1986,1989,players/G/Greg_DaviesCS.html,2,8,1,ready
Peter Kelly,Peter Kelly [1964-1965],1964,1965,players/P/Peter_KellyBL.html,0,50,1,ready
Peter Kelly,Peter Kelly [1979],1979,1979,players/P/Peter_KellyPN.html,1,3,1,ready
Peter Kelly,Peter Kelly [1982-1990],1982,1990,players/P/Peter_KellyNT.html,8,29,1,ready
Paul Quinn,Paul Quinn [1964-1966],1964,1966,players/P/Paul_QuinnNT.html,4,12,1,ready
Paul Quinn,Paul Quinn [1991-1997],1991,1997,players/P/Paul_QuinnPR.html,4,16,1,ready
Paul Taylor,Paul Taylor [1968-1975],1968,1975,players/P/Paul_TaylorCS.html,25,75,1,ready
Paul Taylor,Paul Taylor [1981-1990],1981,1990,players/P/Paul_TaylorPR.html,31,121,1,ready
Greg Pierce,Greg Pierce [1969-1980],1969,1980,players/G/Greg_PierceC0.html,35,105,1,ready
Greg Pierce,Greg Pierce [1984],1984,1984,players/G/Greg_PierceC1.html,0,8,1,ready
Peter Fitzgerald,Peter Fitzgerald [1969-1976],1969,1976,players/P/Peter_FitzgeraldSG.html,9,27,1,ready
Peter Fitzgerald,Peter Fitzgerald [1995],1995,1995,players/P/Peter_FitzgeraldBL.html,3,12,1,ready
Keith Blackett,Keith Blackett [1970],1970,1970,players/K/Keith_BlackettMW.html,0,10,1,ready
Keith Blackett,Keith Blackett [1994-1997],1994,1997,players/K/Keith_BlackettPR.html,4,66,1,ready
Jim Harvey,Jim Harvey [1973],1973,1973,players/J/Jim_HarveyCS.html,1,3,1,ready
Jim Harvey,Jim Harvey [1985-1986],1985,1986,players/J/Jim_HarveyES.html,1,4,1,ready
Brian Smith,Brian Smith [1974],1974,1974,players/B/Brian_SmithSG.html,1,4,1,ready
Brian Smith,Brian Smith [1991-1994],1991,1994,players/B/Brian_SmithBL.html,6,228,1,ready
Paul Morris,Paul Morris [1980-1985],1980,1985,players/P/Paul_MorrisBL.html,3,36,1,ready
