"display_name","first_season","last_season","span","is_unresolved","max_gap","seasons_count","db_games","db_tries","db_points","approved_afltables_name","afl_games_record_count","afl_games_total","games_diff","afl_games_urls","afl_games_rows","afl_points_record_count","afl_points_tries_total","afl_points_goals_total","afl_points_fg1_total","afl_points_fg2_total","afl_points_total","tries_diff","points_diff","afl_points_urls","afl_points_rows","discrepancy_flags"
"Aaron Woods","2011","2024","13","0","2011","15","276","18","72","","1","268","8","players/A/Aaron_Woods.html","Aaron Woods 2011-2024 G:268","1","18","0","0","0","72","0","0","players/A/Aaron_Woods.html","Aaron Woods 2011-2024 T:18 P:72","large_career_gap | games_mismatch"
"Andrew Fifita","2010","2022","12","0","2010","14","252","40","160","","1","251","1","players/A/Andrew_Fifita.html","Andrew Fifita 2010-2022 G:251","1","40","0","0","0","160","0","0","players/A/Andrew_Fifita.html","Andrew Fifita 2010-2022 T:40 P:160","large_career_gap | games_mismatch"
"Benji Marshall","2003","2021","18","0","1","19","347","96","1232","","1","346","1","players/B/Benji_Marshall.html","Benji Marshall 2003-2021 G:346","1","96","416","16","0","1232","0","0","players/B/Benji_Marshall.html","Benji Marshall 2003-2021 T:96 P:1232","games_mismatch"
"Bob Fulton","1966","1979","13","1","1","14","139","149","603","","0","0","","","","1","147","26","11","47","598","2","5","players/B/Bob_Fulton.html","Bob Fulton 1966-1979 T:147 P:598","unresolved_db_player | tries_mismatch | points_mismatch"
"Chad Townsend","2011","2025","14","0","1","15","269","40","513","","1","268","1","players/C/Chad_Townsend.html","Chad Townsend 2011-2025 G:268","1","40","167","20","0","514","0","-1","players/C/Chad_Townsend.html","Chad Townsend 2011-2025 T:40 P:514","games_mismatch | points_mismatch"
"Corey Norman","2010","2021","11","0","2010","13","229","36","227","","1","228","1","players/C/Corey_Norman.html","Corey Norman 2010-2021 G:228","1","36","39","5","0","227","0","0","players/C/Corey_Norman.html","Corey Norman 2010-2021 T:36 P:227","large_career_gap | games_mismatch"
"Corey Oates","2013","2024","11","0","2013","13","222","121","484","","1","216","6","players/C/Corey_Oates.html","Corey Oates 2013-2024 G:216","1","121","0","0","0","484","0","0","players/C/Corey_Oates.html","Corey Oates 2013-2024 T:121 P:484","large_career_gap | games_mismatch"
"Euan Aitken","2015","2026","11","0","1","12","216","60","240","","1","215","1","players/E/Euan_Aitken.html","Euan Aitken 2015-2026 G:215","1","60","0","0","0","240","0","0","players/E/Euan_Aitken.html","Euan Aitken 2015-2026 T:60 P:240","games_mismatch"
"Felise Kaufusi","2015","2026","11","0","2015","13","236","32","128","","1","235","1","players/F/Felise_Kaufusi.html","Felise Kaufusi 2015-2026 G:235","1","32","0","0","0","128","0","0","players/F/Felise_Kaufusi.html","Felise Kaufusi 2015-2026 T:32 P:128","large_career_gap | games_mismatch"
"Gerard Beale","2009","2021","12","0","1","13","207","52","208","","1","205","2","players/G/Gerard_Beale.html","Gerard Beale 2009-2021 G:205","1","52","0","0","0","208","0","0","players/G/Gerard_Beale.html","Gerard Beale 2009-2021 T:52 P:208","games_mismatch"
