status,nrl_player_name,afl_player_name,notes
approved,Ahmad Bajouri,Ahmed Bajouri,User-confirmed manual reconciliation.
approved,Alexander Brimson,AJ Brimson,User-confirmed manual reconciliation.
approved,Anthony Suniula,Andrew Suniula,User-confirmed manual reconciliation.
approved,Ben McFadgen,Ben McFadgean,User-confirmed manual reconciliation.
approved,Ben Nakubuwai,Petero Benjamin Nakubuwai,User-confirmed manual reconciliation.
approved,Benjamin Lovett,Ben Lovett,User-confirmed manual reconciliation.
approved,Bill Bainbridge,William Bainbridge,User-confirmed manual reconciliation.
approved,Boyce Nelson,Boycie Nelson,User-confirmed manual reconciliation.
approved,Braden Hamlin-Uele,Braden Uele,User-confirmed manual reconciliation.
approved,Bradley Schneider,Brad Schneider,User-confirmed manual reconciliation.
approved,Brandon Pearson,Brandon Costin,User-confirmed manual reconciliation.
approved,Charles Tonga,Charlie Tonga,User-confirmed manual reconciliation.
approved,Chris Morcome,Chris Morecombe,User-confirmed manual reconciliation.
approved,Chris Satae,Tevita Satae,User-confirmed manual reconciliation.
approved,Clinton Gutherson,Clint Gutherson,User-confirmed manual reconciliation.
approved,Constantine Mika,Con Mika,User-confirmed manual reconciliation.
approved,Dan Russell,Daniel Russell,User-confirmed manual reconciliation.
approved,Dane Chisholm,Dane Chisolm,User-confirmed manual reconciliation.
approved,Daryl Halligan,Darryl Halligan,User-confirmed manual reconciliation.
approved,David Tyrrell,Dave Tyrrell,User-confirmed manual reconciliation.
approved,Denny Lambert,Danny Lambert,User-confirmed manual reconciliation.
approved,Etonia Nabuli,Eto Nabuli,User-confirmed manual reconciliation.
approved,Francis Kalisolaite-Tualau,Francis Tualau,User-confirmed manual reconciliation.
approved,Frank Watane,Frank Watene,User-confirmed manual reconciliation.
approved,Fred Petersen,Fred Peterson,User-confirmed manual reconciliation.
approved,Garret Crossman,Garrett Crossman,User-confirmed manual reconciliation.
approved,Heath Cruckshank,Heath Cruickshank,User-confirmed manual reconciliation.
approved,Izaac Tu’itupou Thompson,Izaac Thompson,User-confirmed manual reconciliation.
approved,James Gannon,Jim Gannon,User-confirmed manual reconciliation.
approved,Jarrad Lawrence,Jarred Lawrence,User-confirmed manual reconciliation.
approved,Jarrod Farlow,Jarred Farlow,User-confirmed manual reconciliation.
approved,Jason Keogh,Jason Keough,User-confirmed manual reconciliation.
approved,Jerry Seuseu,Jerry Seu Seu,User-confirmed manual reconciliation.
approved,Jimmy Ahmat,Jim Ahmat,User-confirmed manual reconciliation.
approved,Joseph Leilua,Joey Leilua,User-confirmed manual reconciliation.
approved,Joseph Vuna,Joe Vuna,User-confirmed manual reconciliation.
