stat_key_raw,first_season,first_round,first_example_value,first_source_match_key,second_season,second_round,second_example_value,second_source_match_key
1 Point Field Goals,1998,1,1,1998-1-Eels-v-Panthers,1998,2,1,1998-2-Knights-v-Warriors
2 Point Field Goals,2021,5,1,2021-5-Rabbitohs-v-Broncos,2021,6,1,2021-6-Broncos-v-Panthers
20/40,2021,28,1,2021-28-Storm-v-Panthers,2022,4,1,2022-4-Sea-Eagles-v-Raiders
40/20,1998,1,1,1998-1-Eels-v-Panthers,1998,3,1,1998-3-Bears-v-Dragons
All Run Metres,1998,1,25,1998-1-Bears-v-Knights,1998,1,30,1998-1-Bears-v-Knights
All Runs,1998,3,10,1998-3-Magpies-v-Rabbitohs,1998,3,11,1998-3-Magpies-v-Rabbitohs
Average Play The Ball Speed,1998,31,2.23s,1998-31-Broncos-v-Bulldogs,1998,31,2.56s,1998-31-Broncos-v-Bulldogs
Bomb Kicks,1999,30,4,1999-30-Storm-v-Dragons,1999,30,5,1999-30-Storm-v-Dragons
Conversion Attempts,1998,3,1,1998-3-Magpies-v-Rabbitohs,1998,3,8,1998-3-Magpies-v-Rabbitohs
Conversions,1998,1,3,1998-1-Bears-v-Knights,1998,1,3,1998-1-Bears-v-Knights
Cross Field Kicks,1999,30,2,1999-30-Storm-v-Dragons,2002,30,1,2002-30-Warriors-v-Roosters
Dummy Half Run Metres,1998,31,28,1998-31-Broncos-v-Bulldogs,1999,30,16,1999-30-Storm-v-Dragons
Dummy Half Runs,1998,31,1,1998-31-Broncos-v-Bulldogs,1998,31,5,1998-31-Broncos-v-Bulldogs
Dummy Passes,1998,31,2,1998-31-Broncos-v-Bulldogs,1998,31,2,1998-31-Broncos-v-Bulldogs
Errors,1998,1,1,1998-1-Bears-v-Knights,1998,1,1,1998-1-Bears-v-Knights
Forced Drop Outs,1998,31,1,1998-31-Broncos-v-Bulldogs,1999,30,1,1999-30-Storm-v-Dragons
Goal Conversion Rate,1998,1,100%,1998-1-Bears-v-Knights,1998,1,60%,1998-1-Bears-v-Knights
Grubbers,1998,31,1,1998-31-Broncos-v-Bulldogs,1998,31,1,1998-31-Broncos-v-Bulldogs
Handling Errors,1998,31,1,1998-31-Broncos-v-Bulldogs,1998,31,1,1998-31-Broncos-v-Bulldogs
Hit Ups,1998,31,13,1998-31-Broncos-v-Bulldogs,1998,31,13,1998-31-Broncos-v-Bulldogs
