stat_key_raw,1998_recorded,1999_recorded,2000_recorded,2001_recorded,2002_recorded,2003_recorded,2004_recorded,2005_recorded,2006_recorded,2007_recorded,2008_recorded,2009_recorded,2010_recorded,2011_recorded,2012_recorded,2013_recorded,2014_recorded,2015_recorded,2016_recorded,2017_recorded,2018_recorded,2019_recorded,2020_recorded,2021_recorded,2022_recorded,2023_recorded,2024_recorded,2025_recorded,2026_recorded,1998_total_rows,1999_total_rows,2000_total_rows,2001_total_rows,2002_total_rows,2003_total_rows,2004_total_rows,2005_total_rows,2006_total_rows,2007_total_rows,2008_total_rows,2009_total_rows,2010_total_rows,2011_total_rows,2012_total_rows,2013_total_rows,2014_total_rows,2015_total_rows,2016_total_rows,2017_total_rows,2018_total_rows,2019_total_rows,2020_total_rows,2021_total_rows,2022_total_rows,2023_total_rows,2024_total_rows,2025_total_rows,2026_total_rows
1 Point Field Goals,29,30,15,1,4,26,27,29,7,35,31,35,36,45,30,16,21,30,23,20,31,33,19,23,24,37,21,15,3,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
2 Point Field Goals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,5,3,0,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
20/40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
40/20,27,55,40,40,33,43,35,43,29,49,41,51,43,30,42,48,36,29,24,31,20,37,26,29,33,37,33,33,7,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
All Run Metres,1178,7175,6531,6439,6370,6377,6384,6393,6382,6787,6781,6788,6784,6794,6797,6765,6775,6792,6758,6732,6737,6767,5636,6588,6760,7193,7188,7190,1108,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
All Runs,1598,1157,1527,5695,4985,85,21,358,4187,1141,131,200,270,203,135,6770,6781,6797,6767,6748,6742,6775,5641,6594,6767,7204,7194,7196,1108,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
Average Play The Ball Speed,9,9,15,12,12,17,21,19,29,27,30,31,34,34,33,0,0,0,6673,6622,6640,6662,5545,6499,6674,7092,7085,7106,1087,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
Bomb Kicks,0,2,2,1,1,1,1,1,3,2,3,5,4,4,2,620,656,653,647,613,687,726,597,682,701,772,782,796,125,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
Conversion Attempts,103,87,116,429,359,5,2,28,297,76,10,11,16,12,7,423,443,440,447,434,426,432,363,421,431,462,475,478,72,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
Conversions,521,462,420,445,416,410,410,423,406,413,422,398,399,399,403,386,401,385,407,407,387,395,328,390,387,427,448,446,69,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
Cross Field Kicks,0,1,0,0,1,2,1,1,2,1,1,3,2,1,4,546,520,461,387,366,308,299,352,362,355,400,402,425,57,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
Dummy Half Run Metres,1,8,9,10,10,10,11,9,15,14,14,14,18,16,11,2179,2078,2055,2057,2077,2040,1832,1475,1689,1739,1664,1628,1631,239,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
Dummy Half Runs,2,8,9,10,10,10,11,10,15,14,14,15,18,16,11,2225,2107,2101,2100,2135,2077,1878,1508,1736,1785,1713,1671,1669,242,8588,7240,6584,6484,6417,6422,6420,6424,6425,6828,6829,6827,6822,6826,6824,6834,6834,6834,6834,6834,6834,6834,5746,7172,7236,7704,7704,7704,1254
