source,player_name,normalized_name,observed_names,first_season,last_season,seasons,teams,first_match_date,last_match_date,match_count,total_tries,total_goals,total_fg1,total_fg2,team_meaning
NRL player stats data,Aaron Booth,aaron booth,Aaron Booth,2020,2022,2020 | 2021 | 2022,Storm | Titans,2020-09-27T06:05:00Z,2022-08-05T08:00:00Z,14,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Cannings,aaron cannings,Aaron Cannings,2002,2010,2002 | 2003 | 2004 | 2005 | 2007 | 2008 | 2009 | 2010,Eagles | Eels | Sea Eagles | Titans,2002-06-29T00:00:00Z,2010-08-14T00:00:00Z,97,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Cotter,aaron cotter,Aaron Cotter,1998,1998,1998,Magpies,1998-07-05T00:00:00Z,1998-07-19T00:00:00Z,3,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Douglas,aaron douglas,Aaron Douglas,1998,1998,1998,Chargers,1998-03-21T00:00:00Z,1998-04-19T00:00:00Z,5,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Gorrell,aaron gorrell,Aaron Gorrell,2002,2009,2002 | 2005 | 2006 | 2009,Broncos | Dragons,2002-04-14T00:00:00Z,2009-07-24T00:00:00Z,60,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Grainger,aaron grainger,Aaron Grainger,1998,1998,1998,Knights,1998-06-28T00:00:00Z,1998-07-04T00:00:00Z,2,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Gray,aaron gray,Aaron Gray,2015,2019,2015 | 2016 | 2017 | 2018 | 2019,Rabbitohs | Sharks,2015-04-26T06:00:00Z,2019-09-14T09:50:00Z,49,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Groom,aaron groom,Aaron Groom,2008,2008,2008,Bulldogs,2008-05-16T00:00:00Z,2008-08-09T00:00:00Z,6,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Heremaia,aaron heremaia,Aaron Heremaia,2009,2011,2009 | 2010 | 2011,Warriors,2009-05-31T00:00:00Z,2011-10-02T17:19:59Z,60,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
NRL player stats data,Aaron Morgan,aaron morgan,Aaron Morgan,2003,2003,2003,Cowboys,2003-06-21T00:00:00Z,2003-07-12T00:00:00Z,2,0,0,0,0,Teams listed are inferred from match structure in player-stat JSON.
