source,unmatched_name,games_recorded,suggested_name,suggested_nrl_games,suggested_afl_games
AFL Tables,Brian Siemson,2,,,
AFL Tables,Fetalaiga Pauga,10,Fetalaiga Pauga,32,10
AFL Tables,Jake Arthur,6,Jake Arthur,62,6
AFL Tables,JJ Collins,4,JJ Collins,24,4
AFL Tables,Josh Curran,50,Josh Curran,112,50
AFL Tables,Junior Tia-Kilifi,10,Vaipuna Tia Kilifi,10,
AFL Tables,Junior Vaivai,4,Paterika Vaivai,16,
AFL Tables,Lancen Juodo,1,,,
AFL Tables,Lorenzo Ma'afu,2,Alailima Ma'afu,2,
AFL Tables,Sam Huihahau,2,,,
AFL Tables,Taioalo Vaivai,1,Paterika Vaivai,16,
NRL.com,Alailima Ma'afu,2,Lorenzo Ma'afu,,2
NRL.com,Alec Tuitavake,1,,,
NRL.com,Ben Johnson,1,Dallas Johnson,222,222
NRL.com,Brad Morkos,1,,,
NRL.com,Braden Uele,18,Braden Uele,18,134
NRL.com,Brian Pouniu,2,,,
NRL.com,Brian Seimson,2,,,
NRL.com,Coby Williamson,2,Luke Williamson,206,206
NRL.com,Cole Geyer,1,Matt Geyer,262,262
NRL.com,Dane Aukafolau,1,,,
NRL.com,Daniel Russell,3,Daniel Russell,3,11
NRL.com,Elie El-Zakhem,1,,,
NRL.com,Ethan Roberts,2,Amos Roberts,177,177
NRL.com,Francis Tualau,4,Francis Tualau,4,10
NRL.com,Israel Leota,1,Moses Leota,208,205
NRL.com,Jack Underhill,1,,,
NRL.com,Jacob Alick,1,,,
NRL.com,James Walsh,2,Joey Walsh,4,1
NRL.com,Jensen Taumoepeau,1,,,
NRL.com,Jett Liu,1,Isaac Liu,272,272
NRL.com,Joseph O'Neill,1,Julian O'Neill,87,220
NRL.com,Kiah Cooper,1,Dustin Cooper,37,37
NRL.com,Latrell Siegwalt,2,,,
NRL.com,Lewis Symonds,1,Tom Symonds,92,92
NRL.com,Liam Sutton,2,John Sutton,336,336
NRL.com,LJ Nonu,2,,,
NRL.com,Loko Pasifiki Tonga,12,Loko Pasifiki Tonga,12,10
NRL.com,Mitchell Woods,1,Aaron Woods,276,268
NRL.com,Niwhai Puru,2,Hohepa Puru,17,7
NRL.com,Pride Petterson-Robati,1,TC Robati,,17
NRL.com,Toby Rodwell,2,Tom Rodwell,4,1
NRL.com,Va'a Semu,3,,,
NRL.com,Vaipuna Tia Kilifi,10,Junior Tia-Kilifi,,10
NRL.com,Valingi Kepu,1,,,
NRL.com,Vena Patuki-Case,1,,,
NRL.com,Villiami Penisini,13,Will Penisini,91,101
NRL.com,Watson Heleta,2,,,
NRL.com,Wilson De Courcey,1,,,
NRL.com,Zane Bijorac,1,,,
NRL.com,Zane Harrison,1,Ashley Harrison,276,276
