scope,season,stat_key,stat_name,anomaly_type,match_label,round_label,entity_label,raw_value,parsed_value,expected_range,notes
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Bulldogs,27,away,63,63,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Bulldogs,27,home,79,79,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Dragons,3,home,69,69,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Knights,1,home,60,60,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Magpies,17,away,64,64,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Magpies,17,home,67,67,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Panthers,16,away,183,3.05,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Panthers,16,home,182,3.033333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Rabbitohs,5,away,97,97,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Raiders,14,away,66,66,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Roosters,11,away,82,82,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Roosters,11,home,71,71,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Sea Eagles,8,home,60,60,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Storm,19,away,77,77,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Storm,19,home,115,1.9166666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Tigers,22,away,210,3.5,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bears v Tigers,22,home,201,3.35,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Bears,7,away,61,61,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Bears,7,home,62,62,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Bulldogs,11,away,58,58,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Bulldogs,11,home,89,89,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Eels,13,away,64,64,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Eels,28,away,106,1.7666666666666666,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Eels,13,home,88,88,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Eels,28,home,68,68,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Magpies,15,home,75,75,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Panthers,3,away,55,55,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Panthers,3,home,85,85,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Rams,21,away,75,75,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Rams,21,home,225,3.75,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Broncos v Roosters,9,away,63,63,stat-specific sanity range,
