scope,season,stat_key,stat_name,row_count,min_value,p10_value,median_value,p90_value,max_value,max_vs_median_ratio
player,1998,40_20,40/20,27,1,1,1,1,2,2.000
player,1998,conversions,Conversions,521,1,1,3,5,10,3.333
player,1998,errors,Errors,3908,1,1,1,2,10,10.000
player,1998,field_goals_1pt,1 Point Field Goals,29,1,1,1,1,2,2.000
player,1998,line_breaks,Line Breaks,2738,1,1,1,2,5,5.000
player,1998,missed_tackles,Missed Tackles,5381,1,1,1,3,8,8.000
player,1998,offloads,Offloads,4647,1,1,1,4,19,19.000
player,1998,send_offs,Send Offs,17,1,1,1,1,1,1.000
player,1998,sin_bins,Sin Bins,63,1,1,1,1,1,1.000
player,1998,tackles_made,Tackles Made,8503,1,4,14,26,46,3.286
player,1998,tries,Tries,1506,1,1,1,2,4,4.000
player,1999,40_20,40/20,55,1,1,1,1,2,2.000
player,1999,conversions,Conversions,462,1,1,2,5,10,5.000
player,1999,errors,Errors,3463,1,1,1,2,7,7.000
player,1999,field_goals_1pt,1 Point Field Goals,30,1,1,1,1,2,2.000
player,1999,line_breaks,Line Breaks,2330,1,1,1,2,6,6.000
player,1999,missed_tackles,Missed Tackles,5136,1,1,2,4,10,5.000
player,1999,offloads,Offloads,4033,1,1,1,4,12,12.000
player,1999,penalty_goals,Penalty Goals,1,1,1,1,1,1,1.000
player,1999,send_offs,Send Offs,9,1,1,1,1,1,1.000
player,1999,sin_bins,Sin Bins,81,1,1,1,1,1,1.000
player,1999,tackles_made,Tackles Made,7168,1,5,15,26,51,3.400
player,1999,tries,Tries,1294,1,1,1,2,4,4.000
player,1999,try_assists,Try Assists,703,1,1,1,2,4,4.000
player,2000,40_20,40/20,40,1,1,1,1,1,1.000
player,2000,all_run_metres,All Run Metres,6531,1,29,74,137,279,3.770
player,2000,conversions,Conversions,420,1,1,3,5,9,3.000
player,2000,errors,Errors,2951,1,1,1,2,7,7.000
player,2000,field_goals_1pt,1 Point Field Goals,15,1,1,1,1,1,1.000
player,2000,line_breaks,Line Breaks,1708,1,1,1,2,5,5.000
player,2000,missed_tackles,Missed Tackles,4894,1,1,2,4,12,6.000
player,2000,offloads,Offloads,3619,1,1,1,3,9,9.000
player,2000,penalty_goals,Penalty Goals,1,2,2,2,2,2,1.000
player,2000,send_offs,Send Offs,8,1,1,1,1,1,1.000
player,2000,sin_bins,Sin Bins,53,1,1,1,1,1,1.000
player,2000,tackles_made,Tackles Made,6510,1,4,15,27,54,3.600
player,2000,tries,Tries,1183,1,1,1,2,4,4.000
player,2000,try_assists,Try Assists,669,1,1,1,2,4,4.000
player,2001,40_20,40/20,40,1,1,1,1,2,2.000
player,2001,all_run_metres,All Run Metres,6439,1,27,69,132,288,4.174
player,2001,conversions,Conversions,445,1,1,3,6,11,3.667
player,2001,errors,Errors,2878,1,1,1,2,6,6.000
player,2001,field_goals_1pt,1 Point Field Goals,1,1,1,1,1,1,1.000
player,2001,line_breaks,Line Breaks,1754,1,1,1,2,6,6.000
player,2001,minutes_played,Minutes Played,6460,1,32,67,80,80,1.194
player,2001,missed_tackles,Missed Tackles,4874,1,1,2,4,11,5.500
player,2001,offloads,Offloads,3818,1,1,2,4,9,4.500
player,2001,one_on_one_lost,One on One Lost,47,1,1,1,1,1,1.000
player,2001,one_on_one_steal,One on One Steal,47,1,1,1,1,1,1.000
player,2001,penalty_goals,Penalty Goals,1,2,2,2,2,2,1.000
player,2001,send_offs,Send Offs,3,1,1,1,1,1,1.000
player,2001,sin_bins,Sin Bins,29,1,1,1,1,1,1.000
player,2001,stint_one,Stint One,6460,1,32,67,80,80,1.194
player,2001,tackles_made,Tackles Made,6433,1,5,15,26,52,3.467
player,2001,tries,Tries,1343,1,1,1,2,4,4.000
player,2001,try_assists,Try Assists,648,1,1,1,2,4,4.000
player,2002,40_20,40/20,33,1,1,1,1,1,1.000
player,2002,all_run_metres,All Run Metres,6370,1,27,70,135,273,3.900
player,2002,conversions,Conversions,416,1,1,3,6,12,4.000
player,2002,errors,Errors,2778,1,1,1,2,6,6.000
player,2002,field_goals_1pt,1 Point Field Goals,4,1,1,1,1,1,1.000
player,2002,line_break_assists,Line Break Assists,517,1,1,1,1,4,4.000
player,2002,line_breaks,Line Breaks,1712,1,1,1,2,5,5.000
player,2002,minutes_played,Minutes Played,6395,1,31,66,80,80,1.212
player,2002,missed_tackles,Missed Tackles,4938,1,1,2,4,12,6.000
player,2002,offloads,Offloads,3496,1,1,1,3,10,10.000
player,2002,one_on_one_lost,One on One Lost,61,1,1,1,1,1,1.000
player,2002,one_on_one_steal,One on One Steal,61,1,1,1,1,1,1.000
player,2002,send_offs,Send Offs,5,1,1,1,1,1,1.000
player,2002,sin_bins,Sin Bins,34,1,1,1,1,2,2.000
player,2002,stint_one,Stint One,6395,1,31,66,80,80,1.212
player,2002,tackles_made,Tackles Made,6357,1,5,16,28,53,3.313
player,2002,tries,Tries,1345,1,1,1,2,5,5.000
